author_id,article_id,name,leading_author,first_author,career_stage,expertise_level,author_key
197,3440,Lemaitre B,False,False,Junior PI,Experienced,lemaitre b
169,2184,Lemaitre B,False,False,Junior PI,Experienced,lemaitre b
204,3462,Khush RS,False,True,Post-doc,Experienced,khush rs
210,3047,Georgel P,False,True,Post-doc,Experienced,georgel p
212,2068,Bischoff V,False,True,PhD,Experienced,bischoff v
214,2520,Gottar M,False,True,PhD,Experienced,gottar m
217,1785,Royet J,True,False,Senior PI,Experienced,royet j
223,2543,Ferrandon D,True,False,Junior PI,Experienced,ferrandon d
227,1880,Ferrandon D,True,False,Senior PI,Experienced,ferrandon d
228,1438,Bou Aoun R,False,True,PhD,Experienced,bou aoun r
231,1600,Roussel A,True,False,Senior PI,Experienced,roussel a
241,1760,Kurata S,True,False,Senior PI,Experienced,kurata s
243,2416,Moscat J,True,False,Senior PI,Newcomer,moscat j
248,1646,Ayres JS,False,True,PhD,Experienced,ayres js
203,2849,Hoffmann JA,True,False,Senior PI,Experienced,hoffmann ja
247,1526,Kurata S,True,False,Senior PI,Experienced,kurata s
232,2335,Stöven S,False,True,PhD,Experienced,stoven s
208,2039,Liehl P,False,True,PhD,Experienced,liehl p
218,1797,Leone P,False,True,Post-doc,Experienced,leone p
226,1880,Nehme NT,False,True,PhD,Experienced,nehme nt
235,2151,Tatar M,True,False,Senior PI,Experienced,tatar m
238,1561,Paquette N,False,True,Post-doc,Experienced,paquette n
240,1760,Yano T,False,True,Post-doc,Experienced,yano t
249,1646,Schneider DS,True,False,Senior PI,Experienced,schneider ds
233,2335,Hultmark D,True,False,Senior PI,Experienced,hultmark d
205,3462,Lemaitre B,True,False,Junior PI,Experienced,lemaitre b
206,2865,Levashina EA,False,True,Post-doc,Experienced,levashina ea
209,2039,Lemaitre B,True,False,Senior PI,Experienced,lemaitre b
216,1785,Maillet F,False,True,Post-doc,Experienced,maillet f
222,2543,Rutschmann S,False,True,PhD,Experienced,rutschmann s
224,2702,Rutschmann S,False,True,PhD,Experienced,rutschmann s
229,1438,Matt N,True,False,Junior PI,Experienced,matt n
230,1600,Mishima Y,False,True,Post-doc,Experienced,mishima y
234,2151,Zerofsky M,False,True,PhD,Experienced,zerofsky m
236,1757,Flatt T,False,True,Post-doc,Experienced,flatt t
239,1561,Silverman N,True,False,Senior PI,Experienced,silverman n
242,2416,Avila A,False,True,Post-doc,Newcomer,avila a
244,2056,Lim JH,False,True,Post-doc,Experienced,lim jh
246,1526,Goto A,False,True,Post-doc,Experienced,goto a
213,2068,Royet J,True,False,Junior PI,Experienced,royet j
221,2276,Ferrandon D,True,False,Junior PI,Experienced,ferrandon d
207,2865,Imler JL,True,False,Junior PI,Experienced,imler jl
211,3047,Hoffmann JA,True,False,Senior PI,Experienced,hoffmann ja
215,2520,Royet J,True,False,Junior PI,Experienced,royet j
219,1797,Roussel A,True,False,Junior PI,Experienced,roussel a
225,2702,Ferrandon D,True,False,Junior PI,Experienced,ferrandon d
237,1757,Silverman N,True,False,Senior PI,Experienced,silverman n
245,2056,Oh BH,True,False,Senior PI,Experienced,oh bh
250,1947,Schneider DS,True,True,Senior PI,Experienced,schneider ds
253,1817,Ayres JS,False,True,PhD,Experienced,ayres js
254,1817,Schneider DS,True,False,Senior PI,Experienced,schneider ds
255,2731,Elrod-Erickson M,False,True,Post-doc,Experienced,elrod-erickson m
257,2325,Dionne MS,False,True,Post-doc,Experienced,dionne ms
261,1919,Shirasu-Hiza MM,False,True,PhD,Experienced,shirasu-hiza mm
